file_name,text
images/synthetic_line_00000.png,"Si buscas el éxito, prometo ser tu cielo. - Isabel Allende."
images/synthetic_line_00001.png,Cada atardecer construye puentes sobre mares agitados.
images/synthetic_line_00002.png,Un corazón sincero ilumina cada rincón del alma.
images/synthetic_line_00003.png,La mujer que amas abre senderos que antes no existían.
images/synthetic_line_00004.png,El hombre que amas ilumina mi vida por completo.
images/synthetic_line_00005.png,Un corazón sincero despierta pasiones dormidas. - Julio Cortázar.
images/synthetic_line_00006.png,El amor de mi vida prometo ser tu cielo. - Mario Benedetti.
images/synthetic_line_00007.png,Eres mi mejor compañía sabe que todo vale la pena. - Julio Cortázar.
images/synthetic_line_00008.png,Su mirada construye puentes sobre mares agitados. - Gabriel García Márquez.
images/synthetic_line_00009.png,Mi mujer merece vivirse con toda la intensidad. - Saludos desde Madrid.
images/synthetic_line_00010.png,"Si buscas el éxito, alcanza cimas que parecían lejanas. - Gabriel García Márquez."
images/synthetic_line_00011.png,Eres la razón merece vivirse con toda la intensidad. - Octavio Paz.
images/synthetic_line_00012.png,Mi hombre soñado deja huellas imborrables en el tiempo. - Pablo Neruda.
images/synthetic_line_00013.png,El mayor tesoro por la que sonrío todos los días.
images/synthetic_line_00014.png,El mayor tesoro construye puentes sobre mares agitados. - Mario Benedetti.
images/synthetic_line_00015.png,El viaje vence cualquier obstáculo con calma.
images/synthetic_line_00016.png,Tu mirada huele a rosas frescas.
images/synthetic_line_00017.png,La libertad acompaña las noches de invierno.
images/synthetic_line_00018.png,La libertad pertenece a mi vida.
images/synthetic_line_00019.png,Agradezco sabe protegerme siempre.
images/synthetic_line_00020.png,El tiempo compartido cuida sus flores cada día.
images/synthetic_line_00021.png,Su mirada prometo ser tu cielo.
images/synthetic_line_00022.png,- Gabriel García Márquez.
images/synthetic_line_00023.png,Caminar juntos cuida sus flores cada día.
images/synthetic_line_00024.png,Un corazón rebelde alcanza cimas que parecían lejanas.
images/synthetic_line_00025.png,El hombre que amas abre senderos que antes no existían. - Jorge Luis Borges.
images/synthetic_line_00026.png,Cada amanecer alcanza cimas que parecían lejanas.
images/synthetic_line_00027.png,Agradezco tiene un corazón rebelde. - Gustavo Adolfo Bécquer.
images/synthetic_line_00028.png,El tiempo compartido ilumina cada rincón del alma. - Julio Cortázar.
images/synthetic_line_00029.png,Tu amor da sentido a los pequeños instantes. - Gabriel García Márquez.
images/synthetic_line_00030.png,Tu sonrisa nos enseña a valorar lo simple. - Pablo Neruda.
images/synthetic_line_00031.png,La paciencia me quiere más que a nada. - Pablo Neruda.
images/synthetic_line_00032.png,Tu presencia me cuida como a una flor.
images/synthetic_line_00033.png,"Si buscas el éxito, acompaña las noches de invierno."
images/synthetic_line_00034.png,"El amor de mi vida me quiere más que a nada. - Madrid, 03/09/92"
images/synthetic_line_00035.png,El camino sabe que todo vale la pena.
images/synthetic_line_00036.png,Agradezco por la que sonrío todos los días. - Mario Benedetti.
images/synthetic_line_00037.png,"Si buscas el éxito, da sentido a los pequeños instantes."
images/synthetic_line_00038.png,- Federico García Lorca.
images/synthetic_line_00039.png,Agradezco me dice que todo saldrá bien. - Gabriel García Márquez.
images/synthetic_line_00040.png,"No te rindas, y mi mayor apoyo."
images/synthetic_line_00041.png,El tiempo compartido es un regalo que no debemos olvidar.
images/synthetic_line_00042.png,El camino merece vivirse con toda la intensidad. - Saludos desde Cádiz
images/synthetic_line_00043.png,Tu amor acompaña las noches de invierno. - Saludos desde Madrid.
images/synthetic_line_00044.png,El hombre que amas abre senderos que antes no existían. - Jorge Luis Borges.
images/synthetic_line_00045.png,Un corazón rebelde sabe protegerme siempre. - Ref: 984-A / Cuaderno.
images/synthetic_line_00046.png,El mayor tesoro por la que sonrío todos los días. - Saludos desde Madrid.
images/synthetic_line_00047.png,Nuestra memoria ilumina cada rincón del alma.
images/synthetic_line_00048.png,Tú me cuida como a una flor.
images/synthetic_line_00049.png,Un corazón rebelde da sentido a los pequeños instantes.
images/synthetic_line_00050.png,El hombre que amas vence cualquier obstáculo con calma. - Jorge Luis Borges.
images/synthetic_line_00051.png,"Si quieres ser mi estrella, huele a rosas frescas."
images/synthetic_line_00052.png,Tu amor transforma la rutina en pura magia.
images/synthetic_line_00053.png,"No te rindas, prometo ser tu cielo."
images/synthetic_line_00054.png,Agradezco deja huellas imborrables en el tiempo. - Julio Cortázar.
images/synthetic_line_00055.png,Caminar juntos merece vivirse con toda la intensidad. - Ref: 984-A / Cuaderno.
images/synthetic_line_00056.png,La libertad guía los pasos hacia nuevos horizontes.
images/synthetic_line_00057.png,Un buen recuerdo deja huellas imborrables en el tiempo.
images/synthetic_line_00058.png,Un corazón sincero despierta pasiones dormidas. - Julio Cortázar.
images/synthetic_line_00059.png,Tu presencia y mi mayor apoyo. - Saludos desde Madrid.
images/synthetic_line_00060.png,Nuestra memoria alcanza cimas que parecían lejanas.
images/synthetic_line_00061.png,Su mirada guía los pasos hacia nuevos horizontes.
images/synthetic_line_00062.png,La perseverancia me dice que todo saldrá bien. - Saludos desde Madrid.
images/synthetic_line_00063.png,Un buen recuerdo deja huellas imborrables en el tiempo. - Mario Benedetti.
images/synthetic_line_00064.png,Un corazón rebelde vence cualquier obstáculo con calma. - Saludos desde Cádiz
images/synthetic_line_00065.png,Un buen recuerdo sabe que todo vale la pena. - Antonio Machado.
images/synthetic_line_00066.png,La vida vence cualquier obstáculo con calma. - Saludos desde Madrid.
images/synthetic_line_00067.png,El mayor tesoro me cuida como a una flor. - Antonio Machado.
images/synthetic_line_00068.png,Eres la razón cuida sus flores cada día. - Saludos desde Madrid.
images/synthetic_line_00069.png,Mi hombre soñado me dice que todo saldrá bien.
images/synthetic_line_00070.png,El mayor tesoro me quiere más que a nada. - Ref: 984-A / Cuaderno.
images/synthetic_line_00071.png,La vida me dice que todo saldrá bien. - Federico García Lorca.
images/synthetic_line_00072.png,Mi mujer ilumina cada rincón del alma. - Notas del día 15-08-24.
images/synthetic_line_00073.png,"Si quieres ser mi estrella, guía los pasos hacia nuevos horizontes. - Isabel Allende."
images/synthetic_line_00074.png,El camino me quiere más que a nada. - Gustavo Adolfo Bécquer.
images/synthetic_line_00075.png,El camino merece vivirse con toda la intensidad. - Saludos desde Cádiz
images/synthetic_line_00076.png,El tiempo compartido ilumina cada rincón del alma. - Julio Cortázar.
images/synthetic_line_00077.png,El tiempo compartido nos enseña a valorar lo simple.
images/synthetic_line_00078.png,El camino guía los pasos hacia nuevos horizontes.
images/synthetic_line_00079.png,Un corazón rebelde es la razón de sonreír a diario.
images/synthetic_line_00080.png,El hombre que amas acompaña las noches de invierno.
images/synthetic_line_00081.png,- Antonio Machado.
images/synthetic_line_00082.png,"Si quieres ser mi estrella, me dice que todo saldrá bien."
images/synthetic_line_00083.png,La paciencia alcanza cimas que parecían lejanas. - Pablo Neruda.
images/synthetic_line_00084.png,La mujer que amas despierta pasiones dormidas. - Ref: 984-A / Cuaderno.
images/synthetic_line_00085.png,Tú me cuida como a una flor.
images/synthetic_line_00086.png,El viaje prometo ser tu cielo.
images/synthetic_line_00087.png,Su mirada ilumina cada rincón del alma. - Gustavo Adolfo Bécquer.
images/synthetic_line_00088.png,Tu mirada sabe protegerme siempre.
images/synthetic_line_00089.png,La paciencia sabe que todo vale la pena.
images/synthetic_line_00090.png,La paciencia construye puentes sobre mares agitados. - Mario Benedetti.
images/synthetic_line_00091.png,La libertad me dice que todo saldrá bien. - Notas del día 15-08-24.
images/synthetic_line_00092.png,Cada amanecer es un regalo que no debemos olvidar. - Isabel Allende.
images/synthetic_line_00093.png,Tu presencia y mi mayor apoyo. - Saludos desde Madrid.
images/synthetic_line_00094.png,"La mujer que amas despierta pasiones dormidas. - Madrid, 03/09/92"
images/synthetic_line_00095.png,La paciencia ilumina mi vida por completo. - Gustavo Adolfo Bécquer.
images/synthetic_line_00096.png,El tiempo compartido cuida sus flores cada día. - Saludos desde Cádiz
images/synthetic_line_00097.png,Cada amanecer sabe protegerme siempre.
images/synthetic_line_00098.png,La vida nos enseña a valorar lo simple.
images/synthetic_line_00099.png,Vuestra memoria es la razón de sonreír a diario.
images/synthetic_line_00100.png,Eres mi mejor compañía merece vivirse con toda la intensidad. - Ref: 984-A / Cuaderno.
images/synthetic_line_00101.png,El mayor tesoro deja huellas imborrables en el tiempo. - Ref: 984-A / Cuaderno.
